Date_Forecast;Forecast_LSTM_ARCH;Forecast_GARCH;Forecast_GJR_GARCH;Forecast_TARCH;Forecast_EGARCH;Forecast_AVGARCH;Forecast_FIGARCH;ReturnForecast;TrueSD;VaR_LSTM_ARCH;VaR_GARCH;VaR_GJR_GARCH;VaR_TARCH;VaR_EGARCH;VaR_AVGARCH;VaR_FIGARCH;SquaredError
29/01/2008;0.014272365;0.024221052;0.028874489;0.033583509;0.030955016;0.025217677;0.025145391;0.006140881;0.011386088;0.046430344;0.048062935;0.052647378;0.056762002;0.054999191;0.04856864;0.048912731;8.33E-06
30/01/2008;0.008846532;0.022607611;0.026474562;0.02894424;0.028385029;0.022887471;0.025258832;-0.004775379;0.019641611;0.028716895;0.046473959;0.050444384;0.052800644;0.052683038;0.046335095;0.049097748;0.000116534
31/01/2008;0.009367658;0.021175191;0.02464563;0.027852399;0.026114295;0.020920272;0.023768554;0.016633153;0.019719222;0.030413432;0.044988099;0.048644894;0.051870864;0.050504381;0.044307889;0.047652864;0.000107155
01/02/2008;0.009766655;0.021476693;0.022636912;0.02399746;0.027053754;0.021781306;0.021930585;0.012163219;0.017664531;0.031714439;0.04513926;0.046419522;0.047924308;0.051217848;0.045010466;0.045591134;6.24E-05
04/02/2008;0.020901248;0.020904208;0.020982064;0.020805035;0.026870609;0.02161651;0.021557348;-0.01051799;0.014691875;0.067933293;0.044593393;0.044780305;0.044723527;0.051166237;0.045015329;0.045245011;3.86E-05
05/02/2008;0.004480896;0.020329218;0.020907779;0.023152541;0.026259305;0.021185964;0.020764969;-0.032518473;0.016139736;0.014471027;0.043852398;0.04453595;0.0470519;0.05039816;0.044359406;0.044307534;0.000135929
06/02/2008;0.010103241;0.027040966;0.034825211;0.03766865;0.033560406;0.026911085;0.020011297;-0.007652849;0.007216909;0.032797178;0.050515806;0.057600754;0.059883546;0.056980307;0.049867058;0.043330268;8.33E-06
07/02/2008;0.010712843;0.02558948;0.032747118;0.037278248;0.031464347;0.025125271;0.025820521;0.007854843;0.006436454;0.034856862;0.049101537;0.055747673;0.059527912;0.055069091;0.048082252;0.049317199;1.83E-05
08/02/2008;0.01030595;0.024157695;0.030425931;0.032362395;0.029677784;0.023438472;0.026337211;-0.00421258;0.01065323;0.03354571;0.047823972;0.053878069;0.055554428;0.053639612;0.04659501;0.049948947;1.21E-07
11/02/2008;0.015508895;0.022667353;0.028657693;0.030830459;0.027455485;0.021428285;0.025242171;0.005871727;0.010171587;0.050437006;0.046480211;0.052500027;0.054492022;0.051787051;0.044760521;0.049044253;2.85E-05
12/02/2008;0.005991498;0.02121984;0.026013175;0.026627287;0.024748635;0.019448994;0.023462814;0.007239627;0.010109075;0.019441712;0.044902684;0.049796223;0.050469283;0.048968521;0.042451676;0.047251714;1.70E-05
13/02/2008;0.008942146;0.020030194;0.024261037;0.023124227;0.023285747;0.018171854;0.021546518;0.013512358;0.010272105;0.029030085;0.043648456;0.048103821;0.046977968;0.047521098;0.04104929;0.045299937;1.77E-06
14/02/2008;0.010121517;0.019789932;0.022469795;0.020121683;0.023668378;0.018552235;0.019741623;-0.013512358;0.009413316;0.032814197;0.043370646;0.046267817;0.043788566;0.047930083;0.041490444;0.043311886;5.02E-07
15/02/2008;0.004659256;0.019894332;0.023390295;0.02391022;0.0243409;0.019259229;0.018905003;0.000837397;0.008629357;0.014985032;0.043378459;0.047093308;0.047646175;0.04849002;0.042153315;0.042264039;1.58E-05
19/02/2008;0.008235431;0.018468549;0.021422824;0.020785427;0.020997126;0.016460879;0.018668666;-0.000896676;0.010439808;0.026667947;0.041850895;0.045052915;0.044440858;0.045007465;0.038965397;0.042086632;4.86E-06
20/02/2008;0.013545898;0.017137654;0.019616006;0.018764659;0.018429407;0.014452584;0.017248018;0.008306278;0.010254266;0.04394574;0.040374103;0.043099276;0.042256906;0.04214491;0.036516388;0.040511085;1.08E-05
21/02/2008;0.017829465;0.016258214;0.017852572;0.016174723;0.017360324;0.013873046;0.015631471;-0.012950865;0.010287424;0.057883339;0.039279991;0.040999562;0.039122124;0.04080318;0.035683376;0.038502347;5.69E-05
22/02/2008;0.006381191;0.016569435;0.019084556;0.019693861;0.018552713;0.014861712;0.014549224;0.007849721;0.008802891;0.020597104;0.039654753;0.042490233;0.043291376;0.042240461;0.036975347;0.037097097;5.86E-06
25/02/2008;0.008328091;0.015688495;0.017419691;0.01701142;0.017490045;0.01418559;0.014472361;0.013718146;0.015932238;0.026990915;0.038585602;0.04055081;0.040233586;0.04095496;0.036092194;0.037013389;5.78E-05
26/02/2008;0.013226169;0.015893727;0.016454882;0.015057374;0.0185516;0.01493785;0.013854549;0.006894092;0.013269516;0.04293212;0.03877852;0.039361206;0.037720235;0.042217024;0.037035478;0.036141699;1.88E-09
27/02/2008;0.011320123;0.014991319;0.015041194;0.013005505;0.017416063;0.014094175;0.013825913;-0.000919867;0.01143885;0.036658872;0.037709672;0.037662528;0.035111644;0.040926029;0.036028352;0.036158518;1.41E-08
28/02/2008;0.01236077;0.01389539;0.013752026;0.011710775;0.015598312;0.01249337;0.013117584;-0.008982093;0.012661982;0.040049499;0.036440049;0.03616989;0.033505876;0.038865329;0.034093877;0.035340726;9.07E-08
29/02/2008;0.013319506;0.013597316;0.013831212;0.013633447;0.015429916;0.012607501;0.012117542;-0.027463395;0.01448741;0.043200824;0.035957363;0.036146247;0.036068189;0.03851131;0.034094658;0.033866889;1.36E-06
03/03/2008;0.011380647;0.018713225;0.024585205;0.024133873;0.021275376;0.016959514;0.011989105;0.00053341;0.010547713;0.036913717;0.042191453;0.048490108;0.047902946;0.045471879;0.039674845;0.033623588;6.94E-07
04/03/2008;0.012043455;0.017418392;0.022425815;0.020828537;0.018453186;0.014581619;0.016379275;-0.003453585;0.010636505;0.039093291;0.040718541;0.046241398;0.044476243;0.042275156;0.036717909;0.039496803;1.98E-06
05/03/2008;0.009624953;0.016345033;0.02086407;0.019865358;0.016953932;0.013412471;0.016627851;0.005224655;0.023247996;0.031218695;0.039475533;0.044609484;0.043484171;0.040513675;0.035222471;0.039848825;0.000185587
06/03/2008;0.020241382;0.015343168;0.019211785;0.017266416;0.015664182;0.012428303;0.015946759;-0.022259859;0.023180123;0.065786683;0.038309514;0.042831027;0.040574552;0.038973044;0.033954693;0.039085865;8.64E-06
07/03/2008;0.00758662;0.018145083;0.024856939;0.025355886;0.019233326;0.015370378;0.014863204;-0.008445928;0.020836666;0.024562128;0.041561726;0.048648892;0.049075732;0.043180438;0.037686859;0.037566401;0.000175564
10/03/2008;0.0196991;0.017508298;0.023932066;0.026390642;0.018827886;0.015158968;0.017230768;-0.015584286;0.023008748;0.064049413;0.040822564;0.047696688;0.050053302;0.042686757;0.037397326;0.040503621;1.10E-05
11/03/2008;0.011740102;0.018249686;0.025710337;0.031270684;0.020691677;0.016573499;0.017394756;0.036457133;0.022123082;0.038147244;0.041658681;0.0494403;0.054462505;0.044834907;0.039142771;0.040668864;0.000107806
12/03/2008;0.01037192;0.026091379;0.024429042;0.0272968;0.028974542;0.022786512;0.01834275;-0.009036278;0.024204575;0.033701336;0.05002012;0.048295077;0.050857628;0.053541074;0.046243524;0.041824188;0.000191342
13/03/2008;0.010319174;0.025013377;0.023774142;0.028609833;0.027979083;0.021960511;0.026089829;0.005113823;0.026764203;0.033420872;0.048963016;0.047608251;0.0520748;0.052544169;0.045347899;0.050042373;0.000270439
